type,topic,question,answer,options,correctOption,explanation
mc,"Lecture 11","Hvilket problem løser Adapter-mønsteret primært?",,"Å legge til ny funksjonalitet til et objekt dynamisk.|Å sikre at objekter kan kommunisere selv om de har ulike grensesnitt.|Å sentralisere logikken for tilstandsendringer i et objekt.|Å skape en familie av relaterte objekter uten å spesifisere deres konkrete klasser.",1,"Adapter-mønsteret løser primært problemet med å bruke en eksisterende klasse som ikke implementerer et nødvendig grensesnitt, og dermed sikrer at klasser med inkompatible grensesnitt kan samarbeide. Adapteren konverterer grensesnittet til en klasse til et annet grensesnitt. \n\nAlternativ 'Å legge til ny funksjonalitet til et objekt dynamisk' er hensikten med Dekoratør-mønsteret.\nAlternativ 'Å sentralisere logikken for tilstandsendringer i et objekt' er relatert til State-mønsteret.\nAlternativ 'Å skape en familie av relaterte objekter uten å spesifisere deres konkrete klasser' er kjennetegnet ved abstrakte fabrikk-mønstre (ikke eksplisitt nevnt som et av de presenterte mønstrene i kildene)."
mc,"Lecture 11","Hvordan oppnår Decorator-mønsteret sin hensikt?",,"Ved å endre arvehierarkiet til eksisterende klasser.|Ved å opprette en ny klasse som inneholder logikken for den ekstra funksjonaliteten og erstatter den opprinnelige klassen.|ed å omslutte et objekt av den opprinnelige klassen og delegere kall til det, samtidig som det legger til egen funksjonalitet.|Ved å bruke betingelseslogikk inne i de eksisterende metodene for å aktivere den nye funksjonaliteten ved behov.",2,"Decorator-mønsteret oppnår sin hensikt ved å lage en dekoratorklasse som omslutter en instans av den opprinnelige klassen og delegerer metodekall til den, samtidig som den utfører den ekstra handlingen før og/eller etter delegeringen. Det legger dynamisk til ansvar til et objekt.\n\nAlternativ 'Ved å endre arvehierarkiet' er ikke hvordan Decorator-mønsteret fungerer; det bruker komposisjon ved å omslutte objektet.\nAlternativ 'Ved å opprette en ny klasse som inneholder logikken for den ekstra funksjonaliteten og erstatter den opprinnelige klassen' kan ligne på subklassing, som Decorator er et mer fleksibelt alternativ til, men beskriver ikke kjernemekanismen.\nAlternativ 'Ved å bruke betingelseslogikk inne i de eksisterende metodene' gjør koden vanskeligere å vedlikeholde og er ikke Decorator-mønsterets tilnærming for å legge til funksjonalitet."
mc,"Lecture 11","Hva er en viktig konsekvens av bruken av grensesnitt i forbindelse med Adapter- og Decorator-mønstrene?",,"Det reduserer behovet for testing av de implementerende klassene.|Det øker kompleksiteten i systemet på grunn av flere abstrakte lag. |Det bidrar til økt fleksibilitet og kombinerbarhet av adaptere og dekoratører. |Det låser implementasjonen av de tilpassede eller dekorerte klassene til spesifikke grensesnitt.",2,"Bruk av grensesnitt gjør at adaptere og dekoratører kan jobbe med alle klasser som implementerer det spesifikke grensesnittet, ikke bare én bestemt klasse, noe som bidrar til økt fleksibilitet og kombinerbarhet. Man kan kombinere ulike adaptere og dekoratører i forskjellige rekkefølger.\n\nAlternativ 'Det reduserer behovet for testing' er ikke en direkte konsekvens av bruken av grensesnitt i disse mønstrene. Tvert imot kan det være behov for testing av de nye adapterne og dekoratørene.\nAlternativ 'Det øker kompleksiteten i systemet' kan potensielt skje med mange lag av abstraksjon, men hovedfordelen med fleksibilitet oppveier ofte dette.\nAlternativ 'Det låser implementasjonen' er feil; grensesnitt fremmer løsere kobling ved å definere en kontrakt som flere klasser kan implementere."
mc,"Lecture 11","Hva er den primære rollen til ""observable""-objektet i Observer-mønsteret?",,"Å definere grensesnittet som observatørene må implementere.|Å utføre handlinger basert på tilbakemeldinger fra observatørene.|Å vedlikeholde en liste over observatører og varsle dem om relevante tilstandsendringer.|Å presentere data på en bestemt måte for observatørene.",2,"Den primære rollen til ""observable""-objektet er å opprettholde en liste over ""observer""-objekter og varsle dem automatisk om eventuelle tilstandsendringer. Dette skjer typisk ved å kalle en spesifikk metode (definert i et felles grensesnitt) på hver av dem.\n\nAlternativ 'Å definere grensesnittet som observatørene må implementere' er vanligvis en separat oppgave. Grensesnittet definerer kontrakten mellom observable og observer. \nAlternativ 'Å utføre handlinger basert på tilbakemeldinger fra observatørene' kan forekomme, men er ikke den definerende rollen til det observable objektet i selve varslingsmekanismen.\nAlternativ 'Å presentere data på en bestemt måte for observatørene' er mer relatert til hva observatørene gjør med informasjonen de mottar, ikke observable-objektets kjernefunksjon."
qa,"Lecture 13","Hvilket problem løser Builder-mønsteret, og hvordan oppnår det dette?","Builder-mønsteret løser problemet med å opprette instanser av immutable klasser når ikke all informasjon er tilgjengelig samtidig. Det introduserer en separat builder-klasse med settere som returnerer builder-objektet, slik at man trinnvis kan konfigurere objektet før den immutable instansen opprettes via en build()-metode.",,,
qa,"Lecture 13","Forklar hvordan Factory-mønsteret kan brukes for å lage instanser av en type T når man ikke kan bruke new T() direkte.","Factory-mønsteret omgår begrensningen ved new T() ved å la en klasse A ta en fabrikkfunksjon (for eksempel en Supplier<T>) som parameter i konstruktøren. Denne funksjonen kan deretter kalles av A for å opprette nye instanser av T uten at A selv trenger å kjenne den konkrete typen.",,,
qa,"Lecture 13","Hva er hovedprinsippet bak Dependency Injection-mønsteret, og hvorfor gjør dette koden mer testbar?","Hovedprinsippet bak Dependency Injection er at en klasse tar sine avhengigheter (andre objekter den trenger for å fungere) som parametre i konstruktøren, i stedet for å opprette dem selv. Dette gjør koden mer testbar fordi man kan injisere ""mock""-objekter under testing for å isolere enheten som testes.",,,
qa,"Lecture 13","Gi et eksempel på et ""magisk tall"" eller en ""magisk streng"" og forklar hvorfor dette anses som en antipattern.","Et eksempel på et magisk tall er tallet 7 brukt i koden uten noen forklarende variabelnavn eller kommentar som indikerer hva det representerer (f.eks., antall dager i uken). Dette er en antipattern fordi det gjør koden vanskeligere å forstå og vedlikeholde, da betydningen av tallet ikke er umiddelbart klar.",,,
qa,"Lecture 13","Hva er forskjellen på lav kohesjon og høy kobling, og hvorfor er dette en uønsket tilstand i kode?","Lav kohesjon betyr at en klasse inneholder kode som ikke logisk hører sammen eller tjener ulike formål, mens høy kobling betyr at det er mange avhengigheter mellom ulike klasser. Dette er en uønsket tilstand fordi det gjør koden vanskeligere å forstå, endre og teste, da endringer i én klasse kan ha utilsiktede effekter i mange andre klasser.",,,
qa,"Lecture 13","Beskriv det grunnleggende konseptet for caching og forklar avveiningen som gjøres ved bruk av cache.","Caching er en teknikk for å lagre resultater av tidligere beregninger eller data som er hentet, slik at de kan hentes raskt ved senere forespørsler uten å måtte utføre beregningen på nytt. Avveiningen er at man bruker mer minne eller diskplass for å oppnå raskere kjøretid.",,,
mc,"Lecture 13","Hva er hovedformålet med Builder-mønsteret?",," Å definere et grensesnitt for å opprette objekter, men la subklasser bestemme hvilken klasse som skal instansieres.|Å konstruere komplekse objekter stegvis ved hjelp av en separat klasse.|Å sikre at en klasse bare har én instans.|Å definere et en-til-mange avhengighetsforhold mellom objekter.",1,"Hovedformålet med Builder-mønsteret er å konstruere komplekse objekter stegvis ved hjelp av en separat klasse. Dette muliggjør opprettelse av immutable objekter selv når ikke all nødvendig informasjon er tilgjengelig samtidig.\n\nAlternativ 'Å definere et grensesnitt for å opprette objekter' beskriver Factory-mønsteret.\nAlternativ 'Å sikre at en klasse bare har én instans' beskriver Singleton-mønsteret (ikke nevnt i kildene). \nAlternativ 'Å definere et en-til-mange avhengighetsforhold mellom objekter' beskriver Observer-mønsteret (ikke nevnt i kildene)."
mc,"Lecture 13","Hvilket av følgende beskriver best hensikten med Factory-mønsteret?",,"Å redusere koblingen mellom klasser ved å injisere avhengigheter.|Å gjenbruke kode ved å definere felles funksjonalitet i en superklasse.|Å abstrahere prosessen med å opprette objekter uten å spesifisere den eksakte klassen som opprettes.|Å kontrollere tilgangen til et objekt.",2,"Hensikten med Factory-mønsteret er best beskrevet som å abstrahere prosessen med å opprette objekter uten å spesifisere den eksakte klassen som opprettes. Dette tillater fleksibilitet i objektgenereringen.\n\nAlternativ 'Å redusere koblingen mellom klasser ved å injisere avhengigheter' beskriver Dependency Injection.\nAlternativ 'Å gjenbruke kode ved å definere felles funksjonalitet i en superklasse' beskriver arv (ikke et spesifikt designmønster definert i kildene på denne måten).\nAlternativ 'Å kontrollere tilgangen til et objekt' kan referere til Proxy-mønsteret (ikke nevnt i kildene)."
mc,"Lecture 13","Hvorfor gjør Dependency Injection koden mer testbar?",,"Fordi det reduserer antall klasser og dermed mengden kode som må testes.|ordi avhengigheter mottas utenfra, noe som gjør det mulig å erstatte reelle avhengigheter med test-dobler (mocks).|Fordi det automatisk genererer testcases basert på klassens struktur.|Fordi det øker kohesjonen i klassene.",1,"Dependency Injection gjør koden mer testbar fordi avhengigheter mottas utenfra, noe som gjør det mulig å erstatte reelle avhengigheter med test-dobler (mocks). Dette isolerer koden som testes.\n\nAlternativ 'Fordi det reduserer antall klasser' er ikke en direkte konsekvens av Dependency Injection.\nAlternativ 'Fordi det automatisk genererer testcases' er ikke relatert til Dependency Injection. \nAlternativ 'Fordi det øker kohesjonen i klassene' er en ønskelig egenskap i seg selv, men ikke den primære grunnen til økt testbarhet ved Dependency Injection."
mc,"Lecture 13","Hva kjennetegner en ""magisk streng"" i kode?",,"En konstant streng som brukes på mange forskjellige steder i koden. |En strengliteral som vises direkte i koden uten en klar forklaring på dens betydning.|En streng som genereres dynamisk basert på brukerinput.|En streng som brukes til kryptering eller sikkerhetsformål.",1,"En ""magisk streng"" kjennetegnes av en strengliteral som vises direkte i koden uten en klar forklaring på dens betydning. Likt som med ""magiske tall"", gjør dette koden vanskeligere å forstå og vedlikeholde.\n\nAlternativ 'En konstant streng som brukes på mange forskjellige steder i koden' kan være problematisk hvis betydningen ikke er klar, men definisjonen av en ""magisk streng"" fokuserer mer på mangelen på forklaring.\nAlternativ 'En streng som genereres dynamisk basert på brukerinput' er ikke nødvendigvis en ""magisk streng"".\nAlternativ 'En streng som brukes til kryptering eller sikkerhetsformål' har en spesifikk hensikt og er ikke i seg selv en ""magisk streng""."
mc,"Lecture 13","Hvorfor er en ""eviction policy"" viktig for en cache som forventes å vare over tid?",,"For å sikre at dataene i cachen alltid er 100% oppdatert.|For å hindre at cachen vokser ubegrenset og tømmer tilgjengelig minne eller diskplass.|For å forbedre sikkerheten ved å fjerne sensitive data fra cachen regelmessig.|For å redusere kompleksiteten i cache-implementasjonen.",1,"En ""eviction policy"" er viktig for en langvarig cache for å hindre at cachen vokser ubegrenset og tømmer tilgjengelig minne eller diskplass. Den definerer regler for hvilke elementer som skal fjernes når kapasitetsgrensen nås.\n\n Alternativ 'For å sikre at dataene i cachen alltid er 100% oppdatert' er ikke hovedformålet med en eviction policy; det handler mer om cache invalidation.\n Alternativ 'For å forbedre sikkerheten' kan være en sideeffekt i noen tilfeller, men ikke hovedformålet.\n Alternativ 'For å redusere kompleksiteten' er feil; en eviction policy legger til kompleksitet."
mc,"Lecture 13","Hvilken funksjon har `Cache-Control`-headeren i HTTP?",,"Å autentisere klienten som sender forespørselen. |Å spesifisere formatet på dataene som overføres. |Å indikere for en klient hvordan et svar kan caches og hvor lenge. |Å håndtere feilmeldinger fra serveren.",2,"Cache-Control-headeren i HTTP har funksjonen å indikere for en klient hvordan et svar kan caches og hvor lenge. Direktiver som max-age brukes for dette.\n\nAlternativ 'Å autentisere klienten' gjøres vanligvis med andre headere som Authorization. \nAlternativ 'Å spesifisere formatet på dataene' gjøres med headere som Content-Type. \nAlternativ 'Å håndtere feilmeldinger fra serveren' er statuskoders og eventuelt en body sin oppgave, ikke Cache-Control-headeren."
